id,brewery_id,country,style,availability,abv
82352,18604,Europe,stout,Rotating,10.4
123597,35034,Europe,pilsener_pale_lager,Year-round,5.0
138971,34412,US,porter,Rotating,5.3
31135,1491,America,pilsener_pale_lager,Year-round,4.7
166955,710,US,specialty,Rotating,4.2
184151,13670,Oceania,wild_sour,Rotating,4.9
274604,39889,US,wheat,Rotating,5.75
55,18134,US,stout,Rotating,7.0
37042,3396,Europe,dark_ale,Year-round,5.0
175138,40690,Canada,wheat,Year-round,6.0
71854,812,US,specialty,Rotating,6.5
332972,31805,US,pilsener_pale_lager,Rotating,5.0
188423,29573,US,IPA,Fall,7.8
363261,16866,US,stout,Rotating,12.9
160048,24488,US,stout,Rotating,10.0
71065,18566,US,specialty,Summer,0.0
103595,13981,US,stout,Rotating,8.0
132213,33566,Europe,pale_ale,Year-round,4.2
95570,3521,Europe,specialty,Year-round,5.5
66299,22434,US,pale_ale,Rotating,5.5
169433,21516,US,brown_ale,Year-round,5.0
346532,43127,US,bock,Limited (brewed once),7.2
281791,42635,Canada,IPA,Rotating,6.66
277948,47733,Europe,IPA,Year-round,6.0
241622,44859,US,wheat,Rotating,5.5
1826,664,Europe,pale_ale,Year-round,5.2
317409,262,US,strong_ale,Limited (brewed once),8.0
25947,4980,US,wheat,Summer,0.0
116682,33521,US,pale_ale,Rotating,7.1
81010,24134,US,wild_sour,Rotating,4.0
231838,35388,US,pale_ale,Rotating,4.5
206225,22893,US,IPA,Year-round,4.5
56434,2391,US,wild_sour,Rotating,8.06
288235,32930,US,IPA,Rotating,8.0
331373,10272,Europe,IPA,Year-round,5.7
69226,25482,Europe,pale_ale,Year-round,5.0
143277,31030,US,porter,Rotating,6.2
282973,37078,US,pilsener_pale_lager,Rotating,5.7
23920,620,Europe,pilsener_pale_lager,Year-round,5.2
260095,44082,US,pale_ale,Rotating,6.6
70690,25775,Canada,wheat,Year-round,4.5
18057,380,Europe,pale_ale,Year-round,6.4
6834,695,US,porter,Year-round,6.0
10540,4974,Asia,IPA,Year-round,0.0
22270,4832,US,dark_lager,Rotating,5.7
263953,33901,US,IPA,Rotating,8.5
104273,31326,US,pale_ale,Rotating,3.5
251232,36639,Europe,brown_ale,Rotating,5.2
42880,1513,US,pilsener_pale_lager,Spring,4.5
234066,42879,Canada,IPA,Rotating,7.0
307448,27035,US,dark_lager,Rotating,6.0
203666,43097,US,stout,Rotating,6.1
95834,952,US,IPA,Rotating,0.0
34094,13839,US,stout,Rotating,12.0
82299,11056,Canada,wheat,Rotating,6.0
273071,103,US,pale_ale,Rotating,5.2
363440,52393,US,wild_sour,Rotating,4.9
223583,29347,Europe,dark_lager,Rotating,6.7
77754,28188,US,brown_ale,Year-round,5.4
89608,27917,US,strong_ale,Rotating,10.5
97580,30031,US,stout,Rotating,0.0
7916,1912,US,stout,Year-round,5.0
201595,32910,US,stout,Fall,12.0
269196,35025,US,IPA,Rotating,6.4
168128,19765,US,IPA,Spring,4.8
192937,31724,US,specialty,Fall,6.0
4067,1390,Europe,porter,Year-round,5.5
124660,34962,US,porter,Year-round,7.2
120043,178,Europe,pale_ale,Year-round,4.0
98240,27378,US,pale_ale,Rotating,6.6
221300,41849,US,wheat,Year-round,4.9
366777,45704,US,IPA,Limited (brewed once),9.0
254265,28178,US,wheat,Rotating,4.0
364504,28657,US,IPA,Rotating,9.4
20815,9877,US,strong_ale,Winter,8.0
363187,37910,US,wild_sour,Rotating,4.0
364990,36113,US,IPA,Rotating,8.3
